instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
USDJPY,M5,2026-05-19 14:35:00+00:00,159.18486,159.18486,159.15816,159.18167,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:40:00+00:00,159.17647,159.18667,159.15252,159.15556,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:45:00+00:00,159.1608,159.1836,159.14998,159.17696,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:50:00+00:00,159.1719,159.17681,159.15671,159.17495,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 14:55:00+00:00,159.17035,159.17035,159.05654,159.06687,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:00:00+00:00,159.08725,159.09354,159.03293,159.07582,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:05:00+00:00,159.07691,159.10728,159.04276,159.10111,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:10:00+00:00,159.08947,159.11583,159.05477,159.11156,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:15:00+00:00,159.10894,159.11384,159.07186,159.07498,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:20:00+00:00,159.07618,159.12385,159.07439,159.12164,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:25:00+00:00,159.11731,159.14776,159.11731,159.1346,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:30:00+00:00,159.13816,159.1585,159.13162,159.15537,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
USDJPY,M5,2026-05-19 15:35:00+00:00,159.15171,159.16652,159.14176,159.15469,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-19T15:47:11Z
